Series;Time;Value
direction;2018-09-02 07:46:30;270
direction;2018-09-02 07:52:30;270
direction;2018-09-02 07:56:30;135
direction;2018-09-02 08:02:30;135
direction;2018-09-02 08:08:30;135
direction;2018-09-02 08:14:30;270
direction;2018-09-02 08:18:30;270
direction;2018-09-02 08:22:30;270
direction;2018-09-02 08:28:30;270
direction;2018-09-02 08:32:30;270
direction;2018-09-02 08:38:30;270
direction;2018-09-02 08:42:30;270
direction;2018-09-02 08:48:30;225
direction;2018-09-02 08:54:30;270
direction;2018-09-02 08:58:30;135
direction;2018-09-02 09:02:30;270
direction;2018-09-02 09:12:30;270
direction;2018-09-02 09:18:30;135
direction;2018-09-02 09:24:30;270
direction;2018-09-02 09:30:30;270
direction;2018-09-02 09:34:30;270
direction;2018-09-02 09:38:30;90
direction;2018-09-02 09:42:30;270
direction;2018-09-02 09:46:30;135
direction;2018-09-02 09:50:30;270
direction;2018-09-02 09:54:30;270
direction;2018-09-02 10:00:30;270
direction;2018-09-02 10:04:30;135
direction;2018-09-02 10:10:30;180
direction;2018-09-02 10:14:30;270
direction;2018-09-02 10:18:30;270
direction;2018-09-02 10:22:30;270
direction;2018-09-02 10:28:30;270
direction;2018-09-02 10:32:30;270
direction;2018-09-02 10:36:30;135
direction;2018-09-02 10:42:30;270
direction;2018-09-02 10:46:30;270
direction;2018-09-02 10:52:30;270
direction;2018-09-02 10:56:30;270
direction;2018-09-02 11:00:30;135
direction;2018-09-02 11:04:30;270
direction;2018-09-02 11:08:30;270
direction;2018-09-02 11:12:31;135
direction;2018-09-02 11:16:31;270
direction;2018-09-02 11:22:31;270
direction;2018-09-02 11:28:31;270
direction;2018-09-02 11:32:31;270
direction;2018-09-02 11:36:31;270
direction;2018-09-02 11:42:31;135
direction;2018-09-02 11:48:31;270
direction;2018-09-02 11:58:31;135
direction;2018-09-02 12:04:31;270
direction;2018-09-02 12:10:31;270
direction;2018-09-02 12:16:31;135
direction;2018-09-02 12:22:31;135
direction;2018-09-02 12:28:31;135
direction;2018-09-02 12:34:31;270
direction;2018-09-02 12:38:31;270
direction;2018-09-02 12:42:31;135
direction;2018-09-02 12:48:31;135
direction;2018-09-02 12:54:31;135
direction;2018-09-02 12:58:31;135
direction;2018-09-02 13:02:31;135
direction;2018-09-02 13:06:31;270
direction;2018-09-02 13:10:31;135
direction;2018-09-02 13:14:31;180
direction;2018-09-02 13:18:31;270
direction;2018-09-02 13:24:31;180
direction;2018-09-02 13:28:31;90
direction;2018-09-02 13:34:31;270
direction;2018-09-02 13:40:31;270
direction;2018-09-02 13:44:31;135
direction;2018-09-02 13:48:31;270
direction;2018-09-02 13:54:31;270
direction;2018-09-02 14:00:31;90
direction;2018-09-02 14:04:31;180
direction;2018-09-02 14:10:31;270
direction;2018-09-02 14:16:31;135
direction;2018-09-02 14:22:31;270
direction;2018-09-02 14:28:31;135
direction;2018-09-02 14:34:31;270
direction;2018-09-02 14:38:31;90
direction;2018-09-02 14:42:31;135
