"time","conc","wdir","wspeed","minute","hour","dow","wos"
2018-09-01 19:05:00,0.8895,135,0.02999999932945,1145,19,"Saturday","1"
2018-09-01 19:10:00,0.9335,NA,NA,1150,19,"Saturday","1"
2018-09-01 19:15:00,0.924,135,0,1155,19,"Saturday","1"
2018-09-01 19:20:00,1.26525,180,0,1160,19,"Saturday","1"
2018-09-01 19:25:00,1.3055,180,0,1165,19,"Saturday","1"
2018-09-01 19:30:00,1.0722,180,0,1170,19,"Saturday","1"
2018-09-01 19:35:00,1.3375,270,0.239999994636,1175,19,"Saturday","1"
2018-09-01 19:40:00,1.2595,270,0,1180,19,"Saturday","1"
2018-09-01 19:45:00,1.12975,270,0.0399999991059,1185,19,"Saturday","1"
2018-09-01 19:50:00,1.317,180,0.300000011921,1190,19,"Saturday","1"
2018-09-01 19:55:00,1.07775,135,1.39999997616,1195,19,"Saturday","1"
2018-09-01 20:00:00,1.0148,180,0,1200,20,"Saturday","1"
2018-09-01 20:05:00,1.471,135,0.259999990463,1205,20,"Saturday","1"
2018-09-01 20:10:00,1.345,135,0.280000001192,1210,20,"Saturday","1"
2018-09-01 20:15:00,1.22975,90,0.479999989271,1215,20,"Saturday","1"
2018-09-01 20:20:00,1.377,135,0.0799999982119,1220,20,"Saturday","1"
2018-09-01 20:25:00,1.19825,135,0.150000002235,1225,20,"Saturday","1"
2018-09-01 20:30:00,1.36825,180,0.119999997318,1230,20,"Saturday","1"
2018-09-01 20:35:00,1.002,270,0.899999976158,1235,20,"Saturday","1"
2018-09-01 20:40:00,1.1655,135,0.019999999553,1240,20,"Saturday","1"
2018-09-01 20:45:00,0.8955,180,0.620000004768,1245,20,"Saturday","1"
2018-09-01 20:50:00,0.93325,135,0.319999992847,1250,20,"Saturday","1"
2018-09-01 20:55:00,1.3055,135,0.0399999991059,1255,20,"Saturday","1"
2018-09-01 21:00:00,1.135,135,0.340000003576,1260,21,"Saturday","1"
2018-09-01 21:05:00,1.0115,135,0,1265,21,"Saturday","1"
2018-09-01 21:10:00,0.932,135,0.0399999991059,1270,21,"Saturday","1"
2018-09-01 21:15:00,1.0894,135,0.019999999553,1275,21,"Saturday","1"
2018-09-01 21:20:00,1.4915,135,0,1280,21,"Saturday","1"
2018-09-01 21:25:00,1.076,135,0.140000000596,1285,21,"Saturday","1"
2018-09-01 21:30:00,1.02425,270,0.319999992847,1290,21,"Saturday","1"
2018-09-01 21:35:00,0.86725,225,0.0399999991059,1295,21,"Saturday","1"
2018-09-01 21:40:00,1.193,NA,NA,1300,21,"Saturday","1"
2018-09-01 21:45:00,1.4238,225,0.0899999979885,1305,21,"Saturday","1"
2018-09-01 21:50:00,1.01175,NA,NA,1310,21,"Saturday","1"
2018-09-01 21:55:00,1.082,135,0.019999999553,1315,21,"Saturday","1"
2018-09-01 22:00:00,0.88025,270,0.959999978542,1320,22,"Saturday","1"
2018-09-01 22:05:00,1.01,135,0.159999996424,1325,22,"Saturday","1"
2018-09-01 22:10:00,1.12325,225,0.0399999991059,1330,22,"Saturday","1"
2018-09-01 22:15:00,1.17825,270,0.1800000015645,1335,22,"Saturday","1"
2018-09-01 22:20:00,1.0058,NA,NA,1340,22,"Saturday","1"
2018-09-01 22:25:00,1.08,NA,NA,1345,22,"Saturday","1"
2018-09-01 22:30:00,0.82075,135,0.019999999553,1350,22,"Saturday","1"
2018-09-01 22:35:00,0.855,90,0.0799999982119,1355,22,"Saturday","1"
2018-09-01 22:40:00,0.7785,135,0.540000021458,1360,22,"Saturday","1"
2018-09-01 22:45:00,0.647,90,0.280000001192,1365,22,"Saturday","1"
2018-09-01 22:50:00,0.79825,135,0.419999986887,1370,22,"Saturday","1"
2018-09-01 22:55:00,0.97325,90,0.280000001192,1375,22,"Saturday","1"
2018-09-01 23:00:00,0.89875,270,0.0599999986589,1380,23,"Saturday","1"
2018-09-01 23:05:00,0.7175,180,0.899999976158,1385,23,"Saturday","1"
2018-09-01 23:10:00,0.73425,90,0.180000007153,1390,23,"Saturday","1"
2018-09-01 23:15:00,0.679,225,0.140000000596,1395,23,"Saturday","1"
2018-09-01 23:20:00,0.79175,NA,NA,1400,23,"Saturday","1"
2018-09-01 23:25:00,0.77,180,0,1405,23,"Saturday","1"
2018-09-01 23:30:00,0.83975,270,0.360000014305,1410,23,"Saturday","1"
2018-09-01 23:35:00,0.72825,270,0.019999999553,1415,23,"Saturday","1"
2018-09-01 23:40:00,0.64825,135,0.0399999991059,1420,23,"Saturday","1"
2018-09-01 23:45:00,0.7652,270,0.119999997318,1425,23,"Saturday","1"
2018-09-01 23:50:00,0.79475,90,0.0399999991059,1430,23,"Saturday","1"
2018-09-01 23:55:00,0.79625,270,0.019999999553,1435,23,"Saturday","1"
2018-09-02 00:00:00,0.685,270,0,0,0,"Sunday","1"
2018-09-02 00:05:00,0.70075,225,0.10000000149,5,0,"Sunday","1"
2018-09-02 00:10:00,0.73475,NA,NA,10,0,"Sunday","1"
2018-09-02 00:15:00,0.845,270,0.2099999934435,15,0,"Sunday","1"
2018-09-02 00:20:00,0.75375,NA,NA,20,0,"Sunday","1"
2018-09-02 00:25:00,0.68375,135,0.0399999991059,25,0,"Sunday","1"
2018-09-02 00:30:00,0.60525,225,0,30,0,"Sunday","1"
2018-09-02 00:35:00,0.61875,135,0.5,35,0,"Sunday","1"
2018-09-02 00:40:00,0.6115,270,0.40000000596,40,0,"Sunday","1"
2018-09-02 00:45:00,0.53525,270,1.03999996185,45,0,"Sunday","1"
2018-09-02 00:50:00,0.52175,270,2.81999993324,50,0,"Sunday","1"
2018-09-02 00:55:00,0.55225,135,0.019999999553,55,0,"Sunday","1"
2018-09-02 01:00:00,0.5615,135,0,60,1,"Sunday","1"
2018-09-02 01:05:00,0.578,135,0.019999999553,65,1,"Sunday","1"
2018-09-02 01:10:00,0.5195,270,0.019999999553,70,1,"Sunday","1"
